LP;Adres;nr kompleksu;NR EWDENCYJNY OBIEKTU;PRZEZNACZENIE OBIEKTU;KUBATURA [m3];POW U¯YTKOWA[m2]
CZERWIEÑSK;CZERWIEÑSK;2605;1;MAGAZYNOWY;251;94
CZERWIEÑSK;CZERWIEÑSK;2605;2;MAGAZYNOWY;77;28
CZERWIEÑSK;CZERWIEÑSK;2605;3;HALA SPORTOWA;13368;2802
CZERWIEÑSK;CZERWIEÑSK;2605;4;KOSZAROWY;2945;1160
CZERWIEÑSK;CZERWIEÑSK;2605;5;KOSZAROWY;3813;1414
CZERWIEÑSK;CZERWIEÑSK;2605;6;WIELOFUNKCYJNY;19436;6841
CZERWIEÑSK;CZERWIEÑSK;2605;8;MAGAZYNOWY;931;359
CZERWIEÑSK;CZERWIEÑSK;2605;9;MAGAZYN MUNDUROWY - GARA¯;8832;2873
CZERWIEÑSK;CZERWIEÑSK;2605;10;WARSZTATY SOI;1209;359
CZERWIEÑSK;CZERWIEÑSK;2605;11;WARSZTATY, MAGAZYN SOI;558;191
CZERWIEÑSK;CZERWIEÑSK;2605;13;WIATA STOLARNI;82;77
CZERWIEÑSK;CZERWIEÑSK;2605;14;WIE¯A CIŒNIEÑ;1139;58
CZERWIEÑSK;CZERWIEÑSK;2605;16;AGREGATORNIA;126;34
CZERWIEÑSK;CZERWIEÑSK;2605;17;MAGAZYN ¯YWNOŒCIÓWKI, MAG DEMONTAZU SOI;377;171
CZERWIEÑSK;CZERWIEÑSK;2605;18;MAGAZYN ŒRODKÓW MATERIA£ÓW TECH;1514;393
CZERWIEÑSK;CZERWIEÑSK;2605;20;KOSZAROWY;15904;3874
CZERWIEÑSK;CZERWIEÑSK;2605;21;GARA¯;2993;730
CZERWIEÑSK;CZERWIEÑSK;2605;25;HYDROFORNIA;193;63
CZERWIEÑSK;CZERWIEÑSK;2605;26;KOT£OWNIA;3573;903
CZERWIEÑSK;CZERWIEÑSK;2605;27;BUD TAŒMOCI¥GU;59;11
CZERWIEÑSK;CZERWIEÑSK;2605;28;MAGAZYN KWAT GARA¯;3224;570
CZERWIEÑSK;CZERWIEÑSK;2605;29;WIATA OPA£OWA;3672;1440
CZERWIEÑSK;CZERWIEÑSK;2605;30;WIATA INSTRUOWANIA WART;122;83
CZERWIEÑSK;CZERWIEÑSK;2605;35;WIATA;75;53
CZERWIEÑSK;CZERWIEÑSK;2605;36;WIATA INSTRUOWANIA WART;87;60
CZERWIEÑSK;CZERWIEÑSK;2605;37;ARESZT;375;136
CZERWIEÑSK;CZERWIEÑSK;2605;38;KOSZAROWY;13943;4719
CZERWIEÑSK;CZERWIEÑSK;2605;39;PRZEPOMPOWNIA ŒCIEKÓW;9;0
CZERWIEÑSK;CZERWIEÑSK;2605;40;KUCHNIA, JADALNIA;5585;1830
CZERWIEÑSK;CZERWIEÑSK;2605;42;MAGAZYN GW£;42;16
CZERWIEÑSK;CZERWIEÑSK;2605;43;TRYBUNA NA PLACU APELOWYM;23;0
CZERWIEÑSK;CZERWIEÑSK;2605;47;WARTOWNIA DY¯URKA;688;230
CZERWIEÑSK;CZERWIEÑSK;2605;48;IZBA CHORYCH, SOI BIURA, PRACOWNIA PSYCHOLOGICZNA;3804;1078
CZERWIEÑSK;CZERWIEÑSK;2605;49;WARTOWNIA;217;78
CZERWIEÑSK;CZERWIEÑSK;2605;50;WIATA INST WART;41;33
CZERWIEÑSK;CZERWIEÑSK;2605;51;WIATA;166;133
CZERWIEÑSK;CZERWIEÑSK;2605;52;ŒMIETNIK TERENOWY;12;9
CZERWIEÑSK;CZERWIEÑSK;2605;53;BUD NA ODPADY MEDYCZNE;35;17
CZERWIEÑSK;CZERWIEÑSK;2605;54;WIATA PRZYSTANKOWA;4;4
CZERWIEÑSK;CZERWIEÑSK;2605;55;WIATA STALOWA;120;87
CZERWIEÑSK;CZERWIEÑSK;1158;1;ZAPLECZE STRZELNICY;231;77
CZERWIEÑSK;CZERWIEÑSK;1158;3;BUDYNEK PRZEPOMPOWNI ŒCIEKÓW;71;15
CZERWIEÑSK;CZERWIEÑSK;1158;8;MAGAZYNOWY;345;131
CZERWIEÑSK;CZERWIEÑSK;1158;9;STRZELNICA MA£OKALIBROWA(BUDYNEK);1160;424
CZERWIEÑSK;CZERWIEÑSK;1158;14;WIATA;9;8
CZERWIEÑSK;CZERWIEÑSK;1158;16;WIATA;9;8
CZERWIEÑSK;CZERWIEÑSK;1158;17;WIATA;9;8
CZERWIEÑSK;CZERWIEÑSK;1158;18;WIE¯A OBSERWACYJNA;55;13
CZERWIEÑSK;CZERWIEÑSK;1158;19;WIATA;9;8
CZERWIEÑSK;CZERWIEÑSK;1158;20;WIATA;9;8
CZERWIEÑSK;CZERWIEÑSK;1158;21;WIATA;69;56
CZERWIEÑSK;CZERWIEÑSK;1158;22;MAGAZYN WYSZKOLENIA;126;49
CZERWIEÑSK;CZERWIEÑSK;1158;23;WIATA;9;8
CZERWIEÑSK;CZERWIEÑSK;1158;24;WIATA;9;8
CZERWIEÑSK;CZERWIEÑSK;1158;26;PRZETWORNIKOWNIA;64;18
CZERWIEÑSK;CZERWIEÑSK;1158;27;PRZETWORNIKOWNIA;64;18
CZERWIEÑSK;CZERWIEÑSK;1158;28;PRZETWORNIKOWNIA;64;18
CZERWIEÑSK;CZERWIEÑSK;5719;1;WARTOWNIA;260;87
CZERWIEÑSK;CZERWIEÑSK;5719;2;MAGAZYN AMUNICJI;182;57
